lat,lon,industries_count
22.377620426192024,70.3867214576713,8
23.195016283770162,68.66419310801066,9
23.03271654504039,70.22687297878258,2
23.132709350148208,70.78772876357894,3
23.166007136120097,69.48905226252057,6
21.994217188831247,69.43313507081875,2
22.461827003762913,70.4431595064869,8
22.115976020391145,69.33663033026036,8
22.8946505304238,69.46663784371228,3
22.138327833937886,69.88497425984889,17
21.80947641146339,69.40052439492347,11
22.681261331728212,70.23751225099677,3
21.695460473756278,69.4045989388714,12
22.92936909736048,69.98031667385334,14
22.17118523831113,69.94224123149824,1
22.379710125959885,70.63194403620423,12
21.65979201342115,70.38265093314786,18
23.625051106904273,69.53523622927317,4
22.068542556510963,69.16775379676388,3
22.617999382726055,70.21898442098872,17
21.90413070376938,69.47330458262333,13
22.382166095809616,69.63216163104812,17
23.675910890512107,69.27008615496818,17
22.948738367632675,70.13950596539341,19
22.43818450184471,69.47675344178124,5
22.78291326017227,69.7824791558486,8
22.519720471656694,69.79024846705376,2
22.753789710086206,69.89178030995696,9
23.17193435951648,70.13081925085982,7
22.634451005046483,69.67858981405288,16
22.909995736962554,69.42928620905673,12
22.91824774882413,68.87022768312228,5
22.63692717635113,69.85131481468383,6
22.432037005164972,69.72150047969099,17
22.53740832169777,69.4447635849395,15
23.14959262576754,69.83127623107626,10
23.191208352487727,70.22799133630744,3
22.231102834365764,70.35594404247358,7
22.669505332805997,69.0324312907878,2
22.423539065448832,69.61956934949232,13
23.199976214858072,70.28051260619921,14
22.56439848011005,70.5980205172615,4
23.900461908785683,69.39136817342079,8
22.908948694948528,70.48916146461629,5
23.390998227111613,69.12495185888268,12
22.29269458659832,70.37414228155997,12
22.805861074542932,69.65912183389733,11
23.108086549185114,70.58141163282187,2
22.2833498790891,69.56798439187234,5
22.81017135590529,69.64505463661983,13
23.32592951610027,69.73330368539807,18
22.636274996038257,69.03147492263855,17
22.37412374771369,68.91876366462067,6
23.70147972773626,70.05507709652035,19
22.214127349176852,70.29423117367668,17
22.877945314190793,70.10378875142055,17
22.445861830831596,69.17301219291073,18
22.331582880571226,70.04009437253602,15
23.170828541351632,69.30489801314815,4
22.697232044168732,70.00382635411182,4
23.00294323270985,70.36564957260121,5
21.672427139437403,69.98373342666751,15
23.051559890981032,70.53426695112097,2
22.439702044091835,69.72500626432362,11
21.860574024420867,69.69167533934781,3
23.742369777393588,69.83367564889039,11
23.100506763247314,69.12867945810062,3
22.9136387063398,69.59852446219143,11
23.424709424869935,69.64243341512997,2
22.92378464069427,69.65800002835655,15
22.400692994928196,69.93414558358171,8
22.712516194758813,69.05983544008835,2
22.460816893403976,69.22719300806975,18
22.549823553587647,70.36603479831923,8
22.17114816707038,68.7963758879681,12
22.31498971209984,70.10818553443642,6
23.24729276633434,69.61322015960116,2
22.966037719401626,69.88006124083172,12
22.548493473734247,70.57904939266697,12
22.28598406776843,69.73440860706734,13
22.597301510596033,70.11269400275287,9
21.958075098516467,69.82928348384095,15
22.863315299712177,69.74531191512334,11
23.272735740996282,69.68341235107981,9
23.983486330029514,70.15052917425311,8
22.24837063871794,69.43419906693933,18
23.251901222975306,69.23398840572436,11
22.446394277151065,69.83723748671554,5
22.235771854974494,69.89639200179424,4
22.23555093557201,68.88792091730052,5
22.870367863213485,69.79475628569466,7
22.334603188153366,69.18656153939274,17
22.496577114353258,70.11342155372391,18
22.57979933463137,68.89815757205169,1
22.430016080050546,70.76253791493154,16
22.39370772365043,69.63090079168208,9
21.585420118740764,69.36751902575634,12
22.843476645055937,69.6585137698159,19
22.833835744779226,70.07813542931694,11
22.401327575132246,70.24523504461746,6
22.980192135194187,69.66284434498758,4
23.498453766032842,69.0806547925939,16
22.811789916417144,69.19385143318891,3
23.465128889578114,69.94319384937037,8
23.919065960213562,70.29366356475522,16
24.06526234456014,70.35873762579206,2
22.205881956745,69.88404628770539,13
22.208468496790665,70.28364978309071,19
22.577785001637146,70.756174608796,16
22.864357600629923,70.39517385636815,19
23.59332599992179,70.26101895070218,8
23.11362061054548,69.39672140845386,2
22.198356435163753,70.281309810214,1
22.494171295762836,70.03061623894438,17
22.778999896017243,70.12532281418356,18
22.055420010927254,70.43055313947225,7
22.80683422877046,69.97927892418409,9
22.205782204470378,69.74872683466927,3
21.974639433221316,69.26506709616953,11
22.326507360265193,69.65174184117734,16
23.00551052744617,69.90642613358133,9
23.00205785549326,69.93880967009126,12
22.84832695834372,69.92193814933516,14
23.29580683027044,70.27975492988053,4
23.242791617106718,70.23268235010856,4
22.90219067103514,69.7689558792717,11
22.833190925012854,69.37636894627202,2
22.864773352610047,69.99167896838878,18
22.72617741003146,70.92316877380773,3
21.71282863668616,69.96062138763952,2
23.36774242240991,69.65203802381339,1
22.998761415946838,70.06791807623358,5
22.19183627708647,70.09786812938063,7
23.513908309636218,70.09232530020289,4
22.505010065893615,70.48644009752284,3
22.74611549867069,69.99304647847673,6
23.311787797784127,70.46270611770517,12
22.910069679194795,69.91511705686875,16
23.46768792095795,70.55624913375443,8
22.623949250478606,70.4033675978698,11
23.64558660564017,70.26089970577645,13
22.41109855008374,70.19459286788145,14
23.45881116465481,70.95075883853521,18
21.667445390550302,70.33830879433322,8
22.249903974332927,69.37534149768774,1
22.94898306924466,69.92295027573415,4
22.599777286928447,69.66764161588637,17
22.76262569004872,70.83223815839897,6
22.820825460080357,70.42571877979772,5
22.204548695936474,70.81597551231054,14
22.242035192563716,69.4200027358826,19
22.91606102440421,70.35083733927497,14
22.46683352408911,69.11773550848199,2
23.470516929480585,69.00393383293101,9
22.704026422283608,69.60152193376295,7
23.159375621553416,70.55618756874784,18
23.021425834653556,69.30369247952304,11
22.499419471413656,69.79159407658838,8
21.809835606523816,70.39442143410294,10
