lat,lon,ports_count
18.539704707017794,72.97563008492156,2
19.090658925516493,72.69863907346912,2
19.023506949330418,72.66296863432595,12
19.035828157737626,73.56938220661728,17
18.561851806317847,72.78061450585555,18
18.851994204222354,72.91075370594614,12
18.89187480923623,73.10522115436899,14
18.742324046430042,73.16109434850273,3
18.803852164429557,73.25252425537782,6
18.767845280754884,72.75301426287503,4
18.80447547660668,73.28109179583745,13
19.27219122997029,72.72086412262708,19
18.56534917804342,72.91724174485219,15
18.553476333156773,72.89630616066277,10
19.491337038698344,72.96593977425405,7
19.397485000864343,72.67143277699913,11
19.197757526531372,72.93389582949987,13
18.630058235445695,73.03147579763231,9
18.656730559937476,72.76277336533964,16
18.70048600910493,72.75464629870466,7
18.91589314221107,72.88076121996673,6
19.01349567383115,72.83731503364122,16
18.57545338362507,73.22031273698444,5
18.811637200270145,72.98749761588216,5
18.812460224411264,73.10429857843422,13
18.81979686212207,72.94101174290658,15
18.90632930590609,73.02801888849949,17
18.939693434809534,73.3630762725519,11
19.43994115163345,73.05553926928044,14
18.699477868929257,72.7396419846232,7
18.975167661839016,72.63303529659538,9
18.736397033300516,72.60633084581853,18
19.430353146257463,72.63979134787012,3
18.833787540177017,72.86915245425324,9
18.682091588908257,73.14267535690524,3
18.684100575023066,72.78404380415559,14
18.841318680634764,73.16966882342895,5
19.140426223222452,72.51847262479721,16
18.771836884293656,72.86928918748238,18
18.988906088271523,72.93072058651114,6
19.026152204550844,72.92154544671783,19
19.01267307372045,73.05980811087612,13
18.582871621182765,73.06378848273445,7
19.007075000568868,73.00775533415064,9
18.879123757714606,72.72239303061137,8
19.242981318070626,73.09147423006989,12
18.953969016748275,72.72027491631916,9
18.913753550602248,72.7608846908039,18
19.130829880886658,73.036350730183,1
18.792802440461678,72.76355092722125,4
19.538851876230268,72.6367722765233,9
18.700379613056626,72.94281110730992,9
18.83240701709448,72.77511811886512,16
18.629373805935177,72.84356989973631,1
18.465509744278943,73.00014727083608,17
18.808121852196358,73.18449657739505,11
18.836320916916563,72.97907723186854,14
18.72772391216465,72.82129966689187,14
18.50768310297533,72.976932150641,3
19.24007186306939,73.0486336443968,17
18.723969770162416,73.28967975834972,4
18.745391848025236,72.8965991973015,1
19.006016510257496,72.65985424071286,10
18.879017480974014,72.36815908006406,17
18.69578033393403,72.99928689235124,15
18.967648326455947,72.88526453178658,7
18.968557237298416,72.88938397776586,19
18.639883756164654,72.38032218317495,11
19.06952030896818,73.14930264326112,4
18.771715016321323,72.69116802183161,5
19.256319626997314,72.99808131987324,19
19.206521631289363,73.31064928404936,17
19.074900218788727,72.62653712635051,18
19.001805624398543,73.14596307537548,7
18.739216471205335,72.7949205053299,10
18.533099927024995,72.93439612782582,14
18.513373258273358,73.0418541090357,5
18.590919183031712,72.6944914468096,11
19.17958959012988,72.9843475191732,5
19.059045230710982,72.92530945784456,10
18.899829569717703,72.8401637857551,16
18.908070911351953,72.8715335429389,11
18.931859619046314,72.81903163895365,14
18.864900012962632,72.58433351364404,7
19.11107944399574,73.09654912850579,10
