lat,lon,ships_count
19.44704273771011,73.50052496854997,9
18.875562128945933,72.30393285530431,7
19.582919684290623,72.06362100491992,15
20.37072687076722,72.79696298833014,2
18.789261962749,72.64683383972756,12
18.789276738745738,72.39209475560546,1
20.42129153395665,73.42674870271104,8
19.690691256237617,73.65977468771345,5
18.577473052658544,72.87956619766265,15
19.48830403922737,74.12977707294974,1
18.582924076468785,71.77247979727984,1
18.58084322178677,72.62570648664826,10
19.21776604440943,72.15485991145748,10
17.27804777980798,71.12011704463424,15
17.44757395073827,72.72558738274157,17
18.493941223683123,72.69042724245504,6
18.088451991699017,74.16210476891791,3
19.282822599335745,73.3677305160993,13
18.18277833203091,71.87823185810372,16
17.728926668798238,74.46868330970076,8
20.319083892029397,73.89893032597281,15
18.79680132956212,73.32388793312175,17
19.06077538421913,72.59616431103515,17
17.71772663240789,71.93650468694887,13
18.510055547927337,72.46501390153605,17
19.09983033073888,73.77987375773377,6
17.964105780319926,74.49612767534114,17
19.338128216511105,74.18891917544497,16
18.459425179073076,72.36003552039234,14
18.73747562518605,71.79234431003988,13
18.45846404899354,72.92679762222008,6
20.667050366058042,71.20840457099344,3
18.987852497735858,73.0908509427663,14
18.048060163939688,72.6671576723312,14
19.74029042089287,72.38056714831858,15
17.90124071502608,71.36476723945988,8
19.18797723550428,73.26224009591274,15
17.236296888508203,72.32056924430428,13
17.80463255599141,71.74707484786074,17
19.17717511228221,70.21496400804651,3
19.664619921995868,72.77523658545442,6
19.154231453070974,74.39502643700277,5
18.895916545850582,74.29513329309307,17
18.72900667396964,72.38861336907235,2
17.669330208669315,72.2580091456744,15
18.352140212444763,73.22189683046751,5
18.585425106136192,71.90145310473054,6
19.951410003597026,73.07161270983751,6
19.309256460611614,73.48947225054621,18
17.41326386017354,73.90423990149587,18
19.291675572455315,72.70986133116804,4
18.653425947625315,72.61669362484072,17
18.39077019972464,72.00981567191909,14
19.55050865995678,72.05580768136413,14
19.927899570246357,72.59616899728863,13
19.83815210720458,73.13062895613456,7
18.244704229099625,73.62222616360992,12
18.721708861733905,72.07713894438768,15
19.298137088263207,74.14341971206356,19
19.877990614410123,72.55598875906169,11
18.56874318593924,72.7807694350864,15
18.832906921002564,72.12750948876696,12
18.004298523394574,70.61818376575435,3
17.923414038327397,73.59564085672494,17
19.731273240154778,73.46315950738318,3
20.220616025713742,72.5468051985936,19
18.9351908905777,72.86029164550239,4
19.90317960810282,73.26434529593368,3
19.32547242254287,71.39370872880211,16
18.41939222085539,72.32385259038833,12
19.325256044957573,73.51483821165964,8
20.38423290981937,71.67113951914767,17
18.967756564801043,73.06420213894997,7
20.408179290232606,71.57907637583894,11
16.64222940631923,73.21978698419016,18
19.7397122539377,72.76792266593226,1
19.078342361414354,71.34638136568503,3
18.730893384580718,73.84826541901145,4
19.082584698881952,72.13886758088175,13
17.211187976859197,72.07077280668706,6
18.802295300946238,72.98051227750784,14
19.32140131436057,73.83377361448584,5
20.330104640267365,71.88576036291944,16
18.53355680355372,72.85551186486317,15
18.27235575739613,73.18593485029751,15
18.548418660773915,73.42379504653682,4
19.823861905931867,72.9587973997495,8
19.295875998693717,72.469674944825,16
18.523215816609664,72.05516880141614,16
