lat,lon,hotels_count
15.10620915562189,73.38360498626716,6
14.074678240137235,73.38067138608976,6
15.84109498349324,73.18540537573848,12
15.789981179101504,74.01605017765363,4
14.228625931294047,73.42317666298956,7
14.80920063083591,74.84166418424917,12
15.192403443971491,74.82303979141827,9
16.30094315434151,74.07149249087881,7
14.77862035518674,73.31076307882404,16
15.312429972007214,75.10155422861958,15
14.12182551913287,74.60800730259368,3
15.841058746994525,73.3339512688142,6
14.630386513691153,74.09650988552906,14
17.021363489679228,74.00133859033453,8
14.904752488179117,74.21247092719491,4
16.1646470821049,73.90358068743616,13
15.87527024943364,73.81618252982277,5
14.893530979189766,75.85708305430306,18
16.277026346756823,74.21827820328762,11
14.08441579449444,73.34579931429289,5
15.482178584018651,73.52881736240367,17
15.99417318529237,75.1273056723287,2
15.331130962572425,73.6027828496675,5
14.699140244076093,73.18879066419484,8
16.60580605824075,73.88538952255082,6
15.410742466237004,73.71930059660242,8
15.111408240637424,74.83133786554441,2
14.726331159964671,74.96512641361757,8
15.566969929612606,73.64759265172167,7
15.350802651773186,74.4359113431867,8
15.297165436598862,73.76581357112038,18
16.655792864442002,73.29464774532218,7
16.643081043728852,75.11535030713998,15
15.675107106146552,75.2286149477783,9
15.98124156080725,74.11017168179355,14
14.457577869237248,73.42680862170639,13
15.563892916250213,73.18114200889751,3
15.687640497453357,74.33139416783749,6
15.348063350061231,74.80206600527768,4
15.194380882623731,73.97681754012694,18
14.947504075930791,74.64616036441934,11
15.524728876242632,73.73142527236234,7
16.301502945497226,73.49119175226807,15
16.41770446810295,74.06453175095922,11
15.499985698117936,72.47959034606491,19
16.246291198991553,73.54818215347585,9
14.84699038708412,74.46320236181826,6
15.894577058886798,72.19089888967915,7
15.421183773383213,72.99225357534321,8
15.022639034666904,73.79851389715853,12
17.00919469374178,73.05767171306154,19
15.168889443918168,73.56020996470542,14
15.244449527753748,72.46903734272867,7
15.178212060427088,74.34224605701971,2
15.74213784912189,74.6597155930384,11
16.443984583186047,72.83121265086584,11
14.694259329244186,74.04361871212804,8
15.833767397047556,73.75401788748049,6
15.743474301422088,74.21760868827607,11
14.372669730734643,74.92614328380452,11
16.44550593449518,73.0940154263762,5
15.68836832670949,74.7756188669599,10
16.006036335005277,75.07760980565298,1
14.048524212168907,72.68047429733724,7
16.525045919805873,74.58691050921139,4
16.941894740110985,73.29308001725629,13
15.394780911044878,74.34194608599587,15
14.993634779033679,73.34550192063716,16
13.785735920965847,73.50797916586295,3
14.591910853005501,73.44057317055632,3
16.08573193374731,73.2210075543739,8
15.477211757238852,74.41867953138504,16
14.437988545087906,74.23298401549384,2
16.56773306195974,74.25056184468785,7
15.031617733044891,73.63673466815565,1
14.464468205386096,73.70718544919893,9
15.531428944687109,74.15656304903304,9
15.857144263218242,73.32890733928924,18
14.562312520617674,73.55044912598457,12
15.289879386045401,74.54045992932382,12
16.576961235493716,74.16534670785963,5
14.551661896739901,74.7036951770582,11
15.74556878133322,72.1223846129152,4
15.278091882587244,74.92022421128249,16
15.8755378675888,74.54032897538251,12
14.766631781544724,74.55334102183657,2
15.663625006368948,72.76293934254261,5
14.832555125461584,73.50510485420678,8
14.09928410623333,73.59415400034887,16
14.51263531936806,74.00945852331581,18
15.347440552163073,75.13545978869062,3
15.663707710902086,74.03570402358507,6
16.34750148603347,74.71297276470811,4
15.750719299520396,74.86731429112996,11
16.591063080085256,74.37487180141036,2
15.359225296265809,74.04868629438008,13
15.886261513188769,74.75878377018631,13
14.812965428553857,72.78726493944819,18
15.72010046984894,74.33363301357736,13
15.238643886657673,74.96364368306583,12
15.162108886756581,73.99236261030674,9
15.549629910558762,74.30086096628115,1
14.507374662618737,74.60450413898567,5
15.73177828055168,73.6240758422921,4
15.993221229778115,75.99471510944784,4
15.007254379502307,73.0409553001217,14
15.628028326864012,72.56911093991496,11
16.37510658252893,74.37149091539861,14
16.028153591718386,73.44347530807906,12
15.406688227671566,73.9974275076203,16
15.777307186794271,74.06309933392612,15
16.544850125234152,74.18125574064398,10
15.67751614732467,72.94734848490205,4
16.162894779120712,73.3438672485014,1
16.05702365228161,74.66248845980472,19
15.56645406898282,73.4830489711062,8
16.403116967817034,73.77601632761623,10
14.791802299990245,73.44974614634744,7
15.799500676501761,74.18642908104286,2
15.112983847891627,73.54658325186037,2
16.12458122504116,74.97650906760055,19
15.48765921919692,73.28778662938633,12
